label|primitive_label
1T1-1_1_1-a|1T1-1_1_1-a
2T1-2_2_1.1-a|2T1-2_2_1.1-a
3T1-3_3_1.1.1-a|3T1-3_3_1.1.1-a
3T1-3_3_3-a|3T1-3_3_3-a
3T2-3_2.1_2.1-a|3T2-3_2.1_2.1-a
4T1-4_4_1.1.1.1-a|2T1-2_2_1.1-a
4T1-4_4_2.2-a|2T1-2_2_1.1-a
4T2-2.2_2.2_2.2-a|2T1-2_2_1.1-a
4T3-4_2.2_2.1.1-a|2T1-2_2_1.1-a
4T4-3.1_3.1_2.2-a|4T4-3.1_3.1_2.2-a
4T4-3.1_3.1_3.1-a|4T4-3.1_3.1_3.1-a
4T5-4_3.1_2.1.1-a|4T5-4_3.1_2.1.1-a
4T5-4_4_3.1-a|4T5-4_4_3.1-a
5T1-5_5_1.1.1.1.1-a|5T1-5_5_1.1.1.1.1-a
5T1-5_5_5-a|5T1-5_5_5-a
5T1-5_5_5-b|5T1-5_5_5-b
5T1-5_5_5-c|5T1-5_5_5-c
5T2-5_2.2.1_2.2.1-a|5T2-5_2.2.1_2.2.1-a
5T3-4.1_4.1_2.2.1-a|5T3-4.1_4.1_2.2.1-a
5T3-5_4.1_4.1-a|5T3-5_4.1_4.1-a
5T4-5_2.2.1_3.1.1-a|5T4-5_2.2.1_3.1.1-a
5T4-5_3.1.1_3.1.1-a|5T4-5_3.1.1_3.1.1-a
5T4-5_5_2.2.1-a|5T4-5_5_2.2.1-a
5T4-5_5_3.1.1-a|5T4-5_5_3.1.1-a
5T4-5_5_3.1.1-b|5T4-5_5_3.1.1-b
5T4-5_5_5-a|5T4-5_5_5-a
5T5-3.2_3.2_2.2.1-a|5T5-3.2_3.2_2.2.1-a
5T5-3.2_3.2_3.1.1-a|5T5-3.2_3.2_3.1.1-a
5T5-4.1_2.2.1_3.2-a|5T5-4.1_2.2.1_3.2-a
5T5-4.1_3.2_3.1.1-a|5T5-4.1_3.2_3.1.1-a
5T5-4.1_4.1_3.1.1-a|5T5-4.1_4.1_3.1.1-a
5T5-5_2.1.1.1_3.2-a|5T5-5_2.1.1.1_3.2-a
5T5-5_4.1_2.1.1.1-a|5T5-5_4.1_2.1.1.1-a
5T5-5_3.2_3.2-a|5T5-5_3.2_3.2-a
5T5-5_3.2_4.1-a|5T5-5_3.2_4.1-a
5T5-5_4.1_4.1-a|5T5-5_4.1_4.1-a
6T1-6_6_1.1.1.1.1.1-a|2T1-2_2_1.1-a
6T1-6_2.2.2_3.3-a|2T1-2_2_1.1-a
6T1-6_6_3.3-a|2T1-2_2_1.1-a
6T2-3.3_2.2.2_2.2.2-a|3T2-3_2.1_2.1-a
6T3-6_2.2.2_2.2.1.1-a|3T2-3_2.1_2.1-a
6T4-3.3_3.3_2.2.1.1-a|3T1-3_3_1.1.1-a
6T4-3.3_3.3_3.3-a|3T1-3_3_3-a
6T5-6_2.2.2_3.1.1.1-a|2T1-2_2_1.1-a
6T5-6_6_3.1.1.1-a|2T1-2_2_1.1-a
6T5-6_6_3.3-a|2T1-2_2_1.1-a
6T6-6_3.3_2.1.1.1.1-a|3T1-3_3_1.1.1-a
6T6-6_6_2.2.1.1-a|3T1-3_3_1.1.1-a
6T6-6_6_3.3-a|3T1-3_3_3-a
6T7-4.2_3.3_2.2.1.1-a|3T2-3_2.1_2.1-a
6T7-4.2_4.2_3.3-a|3T2-3_2.1_2.1-a
6T8-4.1.1_3.3_2.2.2-a|3T2-3_2.1_2.1-a
6T8-4.1.1_4.1.1_3.3-a|3T2-3_2.1_2.1-a
6T9-6_6_2.2.1.1-a|2T1-2_2_1.1-a
6T10-4.2_4.2_2.2.1.1-a|2T1-2_2_1.1-a
6T10-4.2_4.2_3.1.1.1-a|2T1-2_2_1.1-a
6T10-4.2_4.2_3.3-a|2T1-2_2_1.1-a
6T11-6_2.2.1.1_4.1.1-a|3T2-3_2.1_2.1-a
6T11-6_4.1.1_4.2-a|3T2-3_2.1_2.1-a
6T11-6_4.2_2.2.2-a|3T2-3_2.1_2.1-a
6T12-5.1_2.2.1.1_3.3-a|6T12-5.1_2.2.1.1_3.3-a
6T12-5.1_5.1_2.2.1.1-a|6T12-5.1_5.1_2.2.1.1-a
6T12-5.1_3.3_3.3-a|6T12-5.1_3.3_3.3-a
6T12-5.1_5.1_3.3-a|6T12-5.1_5.1_3.3-a
6T12-5.1_5.1_3.3-b|6T12-5.1_5.1_3.3-b
6T12-5.1_5.1_5.1-a|6T12-5.1_5.1_5.1-a
6T13-4.2_3.2.1_2.2.2-a|2T1-2_2_1.1-a
6T13-6_2.1.1.1.1_4.2-a|2T1-2_2_1.1-a
6T13-6_4.2_3.2.1-a|2T1-2_2_1.1-a
6T14-4.1.1_4.1.1_3.3-a|6T14-4.1.1_4.1.1_3.3-a
6T14-5.1_4.1.1_2.2.2-a|6T14-5.1_4.1.1_2.2.2-a
6T14-5.1_4.1.1_4.1.1-a|6T14-5.1_4.1.1_4.1.1-a
6T14-6_4.1.1_2.2.1.1-a|6T14-6_4.1.1_2.2.1.1-a
6T14-6_3.3_4.1.1-a|6T14-6_3.3_4.1.1-a
6T14-6_4.1.1_5.1-a|6T14-6_4.1.1_5.1-a
6T14-6_5.1_2.2.2-a|6T14-6_5.1_2.2.2-a
6T14-6_6_2.2.1.1-a|6T14-6_6_2.2.1.1-a
6T14-6_6_3.3-a|6T14-6_6_3.3-a
6T14-6_6_5.1-a|6T14-6_6_5.1-a
6T15-4.2_3.1.1.1_3.3-a|6T15-4.2_3.1.1.1_3.3-a
6T15-5.1_3.3_3.1.1.1-a|6T15-5.1_3.3_3.1.1.1-a
6T15-5.1_4.2_2.2.1.1-a|6T15-5.1_4.2_2.2.1.1-a
6T15-5.1_4.2_3.1.1.1-a|6T15-5.1_4.2_3.1.1.1-a
6T15-5.1_5.1_2.2.1.1-a|6T15-5.1_5.1_2.2.1.1-a
6T15-5.1_5.1_3.1.1.1-a|6T15-5.1_5.1_3.1.1.1-a
6T15-4.2_4.2_4.2-a|6T15-4.2_4.2_4.2-a
6T15-5.1_4.2_3.3-a|6T15-5.1_4.2_3.3-a
6T15-5.1_4.2_4.2-a|6T15-5.1_4.2_4.2-a
6T15-5.1_4.2_4.2-b|6T15-5.1_4.2_4.2-b
6T15-5.1_5.1_3.3-a|6T15-5.1_5.1_3.3-a
6T15-5.1_5.1_4.2-a|6T15-5.1_5.1_4.2-a
6T15-5.1_5.1_4.2-b|6T15-5.1_5.1_4.2-b
6T15-5.1_5.1_5.1-a|6T15-5.1_5.1_5.1-a
6T15-5.1_5.1_5.1-b|6T15-5.1_5.1_5.1-b
6T15-5.1_5.1_5.1-c|6T15-5.1_5.1_5.1-c
6T15-5.1_5.1_5.1-d|6T15-5.1_5.1_5.1-d
6T16-3.2.1_3.2.1_3.3-a|6T16-3.2.1_3.2.1_3.3-a
6T16-4.1.1_3.2.1_3.3-a|6T16-4.1.1_3.2.1_3.3-a
6T16-4.2_3.2.1_3.2.1-a|6T16-4.2_3.2.1_3.2.1-a
6T16-4.2_3.2.1_4.1.1-a|6T16-4.2_3.2.1_4.1.1-a
6T16-4.2_4.1.1_4.1.1-a|6T16-4.2_4.1.1_4.1.1-a
6T16-5.1_3.2.1_2.2.2-a|6T16-5.1_3.2.1_2.2.2-a
6T16-5.1_3.2.1_3.2.1-a|6T16-5.1_3.2.1_3.2.1-a
6T16-5.1_3.2.1_3.2.1-b|6T16-5.1_3.2.1_3.2.1-b
6T16-5.1_3.2.1_4.1.1-a|6T16-5.1_3.2.1_4.1.1-a
6T16-6_2.2.1.1_3.2.1-a|6T16-6_2.2.1.1_3.2.1-a
6T16-6_3.1.1.1_4.1.1-a|6T16-6_3.1.1.1_4.1.1-a
6T16-6_3.2.1_3.1.1.1-a|6T16-6_3.2.1_3.1.1.1-a
6T16-6_5.1_2.1.1.1.1-a|6T16-6_5.1_2.1.1.1.1-a
6T16-6_3.2.1_3.3-a|6T16-6_3.2.1_3.3-a
6T16-6_4.1.1_4.2-a|6T16-6_4.1.1_4.2-a
6T16-6_4.1.1_5.1-a|6T16-6_4.1.1_5.1-a
6T16-6_4.2_3.2.1-a|6T16-6_4.2_3.2.1-a
6T16-6_5.1_3.2.1-a|6T16-6_5.1_3.2.1-a
6T16-6_6_3.1.1.1-a|6T16-6_6_3.1.1.1-a
6T16-6_6_4.2-a|6T16-6_6_4.2-a
6T16-6_6_5.1-a|6T16-6_6_5.1-a
6T16-6_6_5.1-b|6T16-6_6_5.1-b
7T1-7_7_1.1.1.1.1.1.1-a|7T1-7_7_1.1.1.1.1.1.1-a
7T2-7_2.2.2.1_2.2.2.1-a|7T2-7_2.2.2.1_2.2.2.1-a
7T3-3.3.1_3.3.1_3.3.1-a|7T3-3.3.1_3.3.1_3.3.1-a
7T3-7_3.3.1_3.3.1-a|7T3-7_3.3.1_3.3.1-a
7T4-6.1_3.3.1_2.2.2.1-a|7T4-6.1_3.3.1_2.2.2.1-a
7T4-6.1_6.1_3.3.1-a|7T4-6.1_6.1_3.3.1-a
7T4-7_6.1_6.1-a|7T4-7_6.1_6.1-a
7T5-4.2.1_3.3.1_3.3.1-a|7T5-4.2.1_3.3.1_3.3.1-a
7T5-4.2.1_4.2.1_3.3.1-a|7T5-4.2.1_4.2.1_3.3.1-a
7T5-4.2.1_4.2.1_4.2.1-a|7T5-4.2.1_4.2.1_4.2.1-a
7T5-7_2.2.1.1.1_3.3.1-a|7T5-7_2.2.1.1.1_3.3.1-a
7T5-7_2.2.1.1.1_4.2.1-a|7T5-7_2.2.1.1.1_4.2.1-a
7T5-7_3.3.1_3.3.1-a|7T5-7_3.3.1_3.3.1-a
7T5-7_3.3.1_4.2.1-a|7T5-7_3.3.1_4.2.1-a
7T5-7_4.2.1_4.2.1-a|7T5-7_4.2.1_4.2.1-a
7T5-7_7_2.2.1.1.1-a|7T5-7_7_2.2.1.1.1-a
7T5-7_7_3.3.1-a|7T5-7_7_3.3.1-a
7T5-7_7_3.3.1-b|7T5-7_7_3.3.1-b
7T5-7_7_4.2.1-a|7T5-7_7_4.2.1-a
7T6-3.2.2_3.2.2_3.2.2-a|7T6-3.2.2_3.2.2_3.2.2-a
7T6-3.2.2_3.2.2_3.3.1-a|7T6-3.2.2_3.2.2_3.3.1-a
7T6-3.2.2_3.3.1_3.3.1-a|7T6-3.2.2_3.3.1_3.3.1-a
7T6-4.2.1_3.2.2_3.2.2-a|7T6-4.2.1_3.2.2_3.2.2-a
7T6-4.2.1_3.2.2_3.3.1-a|7T6-4.2.1_3.2.2_3.3.1-a
7T6-4.2.1_4.2.1_3.2.2-a|7T6-4.2.1_4.2.1_3.2.2-a
7T6-4.2.1_4.2.1_3.2.2-b|7T6-4.2.1_4.2.1_3.2.2-b
7T6-4.2.1_4.2.1_3.3.1-a|7T6-4.2.1_4.2.1_3.3.1-a
